Month,Value
1995-01-01,130.21
1995-02-01,119.438
1995-03-01,114.635
1995-04-01,97.255
1995-05-01,86.141
1995-06-01,77.61
1995-07-01,84.796
1995-08-01,88.566
1995-09-01,77.782
1995-10-01,81.388
1995-11-01,102.302
1995-12-01,125.32
1996-01-01,139.41
1996-02-01,126.11
1996-03-01,119.484
1996-04-01,99.183
1996-05-01,87.697
1996-06-01,81.641
1996-07-01,81.869
1996-08-01,83.555
1996-09-01,78.423
1996-10-01,84.32
1996-11-01,102.938
1996-12-01,122.114
1997-01-01,136.076
1997-02-01,121.731
1997-03-01,115.28
1997-04-01,98.286
1997-05-01,87.823
1997-06-01,81.834
1997-07-01,89.064
1997-08-01,87.159
1997-09-01,81.932
1997-10-01,85.081
1997-11-01,103.047
1997-12-01,126.464
1998-01-01,131.312
1998-02-01,114.971
1998-03-01,116.77
1998-04-01,94.113
1998-05-01,85.136
1998-06-01,84.961
1998-07-01,92.154
1998-08-01,92.838
1998-09-01,85.199
1998-10-01,82.856
1998-11-01,94.245
1998-12-01,116.761
1999-01-01,136.951
1999-02-01,114.801
1999-03-01,118.365
1999-04-01,99.213
1999-05-01,84.487
1999-06-01,81.647
1999-07-01,90.01
1999-08-01,91.962
1999-09-01,81.4
1999-10-01,86.723
1999-11-01,92.356
1999-12-01,119.021
2000-01-01,135.679
2000-02-01,125.332
2000-03-01,111.522
2000-04-01,97.555
2000-05-01,92.601
2000-06-01,86.098
2000-07-01,89.061
2000-08-01,96.637
2000-09-01,83.199
2000-10-01,85.645
2000-11-01,102.928
2000-12-01,139.793
2001-01-01,143.993
2001-02-01,124.114
2001-03-01,120.602
2001-04-01,96.802
2001-05-01,81.4
2001-06-01,77.275
2001-07-01,85.47
2001-08-01,89.357
2001-09-01,79.835
2001-10-01,88.176
2001-11-01,90.972
2001-12-01,113.764
2002-01-01,133.439
2002-02-01,120.24
2002-03-01,121.003
2002-04-01,100.569
2002-05-01,86.016
2002-06-01,84.928
2002-07-01,93.334
2002-08-01,92.1
2002-09-01,82.275
2002-10-01,87.782
2002-11-01,102.311
2002-12-01,127.529
2003-01-01,145.447
2003-02-01,134.624
2003-03-01,118.216
2003-04-01,93.574
2003-05-01,81.07
2003-06-01,73.246
2003-07-01,85.667
2003-08-01,88.417
2003-09-01,76.385
2003-10-01,83.093
2003-11-01,93.974
2003-12-01,121.668
2004-01-01,143.835
2004-02-01,134.961
2004-03-01,112.702
2004-04-01,93.471
2004-05-01,84.135
2004-06-01,79.528
2004-07-01,84.989
2004-08-01,84.438
2004-09-01,79.22
2004-10-01,83.204
2004-11-01,95.437
2004-12-01,125.012
2005-01-01,138
2005-02-01,120.689
2005-03-01,118.592
2005-04-01,92.529
2005-05-01,81.622
2005-06-01,82.273
2005-07-01,90.597
2005-08-01,91.037
2005-09-01,76.247
2005-10-01,76.439
2005-11-01,89.212
2005-12-01,125.23
2006-01-01,116.863
2006-02-01,115.739
2006-03-01,114.711
2006-04-01,90.574
2006-05-01,82.231
2006-06-01,83.499
2006-07-01,94.852
2006-08-01,94.432
2006-09-01,78.648
2006-10-01,88.525
2006-11-01,95.107
2006-12-01,114.515
2007-01-01,133.532
2007-02-01,138.548
2007-03-01,114.731
2007-04-01,97.497
2007-05-01,84.012
2007-06-01,83.71
2007-07-01,89.447
2007-08-01,102.257
2007-09-01,85.596
2007-10-01,87.577
